no,error_type,start_location,end_location
62,change_method_parameter,"org.apache.commons.math.optimization.univariate$MultiStartUnivariateRealOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double):146","org.apache.commons.math.optimization.univariate$MultiStartUnivariateRealOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double):146"
62,change_assignment,"org.apache.commons.math.optimization.univariate$MultiStartUnivariateRealOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double):160","org.apache.commons.math.optimization.univariate$MultiStartUnivariateRealOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double):162"
63,change_return_value,"org.apache.commons.math.util$MathUtils#equals(double,double):417","org.apache.commons.math.util$MathUtils#equals(double,double):417"
64,insert_for_branch,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():269,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():270
64,change_method_parameter,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():278,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():278
64,change_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():316,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():316
64,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():322,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():324
64,change_method_parameter,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():346,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():346
64,delete_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():365,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():365
64,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():420,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():424
64,insert_return_branch,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():420,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():424
64,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():343,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():346
64,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():433,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():434
65,change_return_value,org.apache.commons.math.optimization.general$AbstractLeastSquaresOptimizer#getRMS():245,org.apache.commons.math.optimization.general$AbstractLeastSquaresOptimizer#getRMS():245
65,change_assignment,org.apache.commons.math.optimization.general$AbstractLeastSquaresOptimizer#getChiSquare():258,org.apache.commons.math.optimization.general$AbstractLeastSquaresOptimizer#getChiSquare():258
66,change_method_parameter,org.apache.commons.math.optimization.univariate$BrentOptimizer#BrentOptimizer():44,org.apache.commons.math.optimization.univariate$BrentOptimizer#BrentOptimizer():44
66,change_method_parameter,org.apache.commons.math.optimization.univariate$BrentOptimizer#BrentOptimizer():46,org.apache.commons.math.optimization.univariate$BrentOptimizer#BrentOptimizer():47
66,delete_method,"org.apache.commons.math.optimization.univariate$BrentOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double):59","org.apache.commons.math.optimization.univariate$BrentOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double):64"
66,delete_method,"org.apache.commons.math.optimization.univariate$BrentOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double):65","org.apache.commons.math.optimization.univariate$BrentOptimizer#optimize(org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double):67"
66,change_method_definition,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):93","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):93"
66,change_assignment,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):119","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):119"
66,change_condition,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):120","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):120"
66,change_while_condition,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):127","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):127"
66,change_assignment,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):200","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):200"
66,change_condition,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):201","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):201"
66,change_assignment,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):238","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):238"
66,change_assignment,"org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):241","org.apache.commons.math.optimization.univariate$BrentOptimizer#localMin(boolean,org.apache.commons.math.analysis.UnivariateRealFunction,org.apache.commons.math.optimization.GoalType,double,double,double,double,double):241"
67,change_return_value,org.apache.commons.math.optimization$MultiStartUnivariateRealOptimizer#getResult():97,org.apache.commons.math.optimization$MultiStartUnivariateRealOptimizer#getResult():97
68,insert_statement,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#LevenbergMarquardtOptimizer():163,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#LevenbergMarquardtOptimizer():166
68,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():246,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():247
68,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():249,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():252
68,insert_assignment,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():344,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():347
68,insert_return_branch,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():410,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():415
68,change_return_value,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():419,org.apache.commons.math.optimization.general$LevenbergMarquardtOptimizer#doOptimize():419
69,change_assignment,org.apache.commons.math.stat.correlation$PearsonsCorrelation#getCorrelationPValues():171,org.apache.commons.math.stat.correlation$PearsonsCorrelation#getCorrelationPValues():171
70,change_method_parameter,"org.apache.commons.math.analysis.solvers$BisectionSolver#solve(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double):72","org.apache.commons.math.analysis.solvers$BisectionSolver#solve(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double):72"
71,insert_assignment,"org.apache.commons.math.ode.nonstiff$EmbeddedRungeKuttaIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):294","org.apache.commons.math.ode.nonstiff$EmbeddedRungeKuttaIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):300"
71,insert_assignment,"org.apache.commons.math.ode.nonstiff$RungeKuttaIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):174","org.apache.commons.math.ode.nonstiff$RungeKuttaIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):180"
72,change_method_parameter,"org.apache.commons.math.analysis.solvers$BrentSolver#solve(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double):115","org.apache.commons.math.analysis.solvers$BrentSolver#solve(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double):115"
73,insert_branch,"org.apache.commons.math.analysis.solvers$BrentSolver#solve(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double):134","org.apache.commons.math.analysis.solvers$BrentSolver#solve(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double):138"
74,change_assignment,"org.apache.commons.math.ode.nonstiff$EmbeddedRungeKuttaIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):247","org.apache.commons.math.ode.nonstiff$EmbeddedRungeKuttaIntegrator#integrate(org.apache.commons.math.ode.FirstOrderDifferentialEquations,double,double[],double,double[]):248"
75,change_return_value,org.apache.commons.math.stat$Frequency#getPct(java.lang.Object):303,org.apache.commons.math.stat$Frequency#getPct(java.lang.Object):303
76,change_method_parameter,org.apache.commons.math.linear$SingularValueDecompositionImpl#getU():161,org.apache.commons.math.linear$SingularValueDecompositionImpl#getU():161
76,complicated_for_change,org.apache.commons.math.linear$SingularValueDecompositionImpl#getU():166,org.apache.commons.math.linear$SingularValueDecompositionImpl#getU():179
77,change_assignment,org.apache.commons.math.linear$ArrayRealVector#getLInfNorm():721,org.apache.commons.math.linear$ArrayRealVector#getLInfNorm():721
77,delete_method,org.apache.commons.math.linear$OpenMapRealVector#getLInfNorm():498,org.apache.commons.math.linear$OpenMapRealVector#getLInfNorm():506
78,insert_branch,org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):188,org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):201
79,change_assignment,"org.apache.commons.math.util$MathUtils#distance(int[],int[]):1624","org.apache.commons.math.util$MathUtils#distance(int[],int[]):1624"
79,change_assignment,"org.apache.commons.math.util$MathUtils#distance(int[],int[]):1626","org.apache.commons.math.util$MathUtils#distance(int[],int[]):1626"
80,change_assignment,"org.apache.commons.math.linear$EigenDecompositionImpl#flipIfWarranted(int,int):1135","org.apache.commons.math.linear$EigenDecompositionImpl#flipIfWarranted(int,int):1135"
81,insert_assignment,org.apache.commons.math.linear$EigenDecompositionImpl#computeGershgorinCircles():602,org.apache.commons.math.linear$EigenDecompositionImpl#computeGershgorinCircles():603
81,change_condition,"org.apache.commons.math.linear$EigenDecompositionImpl#computeShiftIncrement(int,int,int):1543","org.apache.commons.math.linear$EigenDecompositionImpl#computeShiftIncrement(int,int,int):1543"
82,change_condition,"org.apache.commons.math.optimization.linear$SimplexSolver#getPivotRow(int,org.apache.commons.math.optimization.linear.SimplexTableau):82","org.apache.commons.math.optimization.linear$SimplexSolver#getPivotRow(int,org.apache.commons.math.optimization.linear.SimplexTableau):82"
83,change_assignment,"org.apache.commons.math.optimization.linear$SimplexTableau#getBasicRow(int,boolean):292","org.apache.commons.math.optimization.linear$SimplexTableau#getBasicRow(int,boolean):292"
83,change_assignment,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():341,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():341
83,change_assignment,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():345,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():345
84,insert_for_branch,org.apache.commons.math.optimization.direct$MultiDirectional#iterateSimplex(java.util.Comparator):95,org.apache.commons.math.optimization.direct$MultiDirectional#iterateSimplex(java.util.Comparator):97
84,insert_return_branch,org.apache.commons.math.optimization.direct$MultiDirectional#iterateSimplex(java.util.Comparator):95,org.apache.commons.math.optimization.direct$MultiDirectional#iterateSimplex(java.util.Comparator):97
85,change_condition,"org.apache.commons.math.analysis.solvers$UnivariateRealSolverUtils#bracket(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double,int):198","org.apache.commons.math.analysis.solvers$UnivariateRealSolverUtils#bracket(org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double,int):198"
86,delete_branch,"org.apache.commons.math.linear$CholeskyDecompositionImpl#CholeskyDecompositionImpl(org.apache.commons.math.linear.RealMatrix,double,double):114","org.apache.commons.math.linear$CholeskyDecompositionImpl#CholeskyDecompositionImpl(org.apache.commons.math.linear.RealMatrix,double,double):116"
86,insert_branch,"org.apache.commons.math.linear$CholeskyDecompositionImpl#CholeskyDecompositionImpl(org.apache.commons.math.linear.RealMatrix,double,double):134","org.apache.commons.math.linear$CholeskyDecompositionImpl#CholeskyDecompositionImpl(org.apache.commons.math.linear.RealMatrix,double,double):138"
87,complicated_if_change,org.apache.commons.math.optimization.linear$SimplexTableau#getBasicRow(int):275,org.apache.commons.math.optimization.linear$SimplexTableau#getBasicRow(int):281
88,insert_branch,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():330,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():333
88,delete_branch,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():336,org.apache.commons.math.optimization.linear$SimplexTableau#getSolution():342
89,coverage_block,org.apache.commons.math.stat$Frequency#addValue(java.lang.Object):108,org.apache.commons.math.stat$Frequency#addValue(java.lang.Object):110
89,insert_branch,org.apache.commons.math.stat$Frequency#addValue(java.lang.Object):110,org.apache.commons.math.stat$Frequency#addValue(java.lang.Object):111
90,complicated_method_change,org.apache.commons.math.stat$Frequency#addValue(java.lang.Object):121,org.apache.commons.math.stat$Frequency#addValue(java.lang.Object):136
91,change_assignment,org.apache.commons.math.fraction$Fraction#compareTo(org.apache.commons.math.fraction.Fraction):259,org.apache.commons.math.fraction$Fraction#compareTo(org.apache.commons.math.fraction.Fraction):260
92,delete_branch,"org.apache.commons.math.util$MathUtils#binomialCoefficient(int,int):185","org.apache.commons.math.util$MathUtils#binomialCoefficient(int,int):188"
92,insert_branch,"org.apache.commons.math.util$MathUtils#binomialCoefficient(int,int):188","org.apache.commons.math.util$MathUtils#binomialCoefficient(int,int):208"
92,insert_return_branch,"org.apache.commons.math.util$MathUtils#binomialCoefficientDouble(int,int):233","org.apache.commons.math.util$MathUtils#binomialCoefficientDouble(int,int):236"
92,change_return_value,"org.apache.commons.math.util$MathUtils#binomialCoefficientDouble(int,int):236","org.apache.commons.math.util$MathUtils#binomialCoefficientDouble(int,int):236"
92,change_return_value,"org.apache.commons.math.util$MathUtils#binomialCoefficientLog(int,int):271","org.apache.commons.math.util$MathUtils#binomialCoefficientLog(int,int):286"
93,insert_branch,org.apache.commons.math.util$MathUtils#factorial(int):344,org.apache.commons.math.util$MathUtils#factorial(int):345
93,change_condition,org.apache.commons.math.util$MathUtils#factorial(int):346,org.apache.commons.math.util$MathUtils#factorial(int):346
93,insert_return_branch,org.apache.commons.math.util$MathUtils#factorialDouble(int):376,org.apache.commons.math.util$MathUtils#factorialDouble(int):377
93,insert_return_branch,org.apache.commons.math.util$MathUtils#factorialLog(int):396,org.apache.commons.math.util$MathUtils#factorialLog(int):397
94,change_condition,"org.apache.commons.math.util$MathUtils#gcd(int,int):411","org.apache.commons.math.util$MathUtils#gcd(int,int):412"
95,coverage_block,org.apache.commons.math.distribution$FDistributionImpl#getInitialDomain(double):145,org.apache.commons.math.distribution$FDistributionImpl#getInitialDomain(double):147
96,change_assignment,org.apache.commons.math.complex$Complex#equals(java.lang.Object):258,org.apache.commons.math.complex$Complex#equals(java.lang.Object):258
97,change_condition,"org.apache.commons.math.analysis$BrentSolver#solve(double,double):138","org.apache.commons.math.analysis$BrentSolver#solve(double,double):138"
97,insert_branch,"org.apache.commons.math.analysis$BrentSolver#solve(double,double):138","org.apache.commons.math.analysis$BrentSolver#solve(double,double):141"
97,change_condition,"org.apache.commons.math.analysis$BrentSolver#solve(double,double):145","org.apache.commons.math.analysis$BrentSolver#solve(double,double):145"
97,insert_branch,"org.apache.commons.math.analysis$BrentSolver#solve(double,double):149","org.apache.commons.math.analysis$BrentSolver#solve(double,double):151"
98,change_assignment,org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):991,org.apache.commons.math.linear$BigMatrixImpl#operate(java.math.BigDecimal[]):991
98,change_assignment,org.apache.commons.math.linear$RealMatrixImpl#operate(double[]):779,org.apache.commons.math.linear$RealMatrixImpl#operate(double[]):779
99,insert_branch,"org.apache.commons.math.util$MathUtils#gcd(int,int):542","org.apache.commons.math.util$MathUtils#gcd(int,int):543"
99,insert_branch,"org.apache.commons.math.util$MathUtils#lcm(int,int):713","org.apache.commons.math.util$MathUtils#lcm(int,int):714"
100,change_assignment,org.apache.commons.math.estimation$AbstractEstimator#getCovariances(org.apache.commons.math.estimation.EstimationProblem):166,org.apache.commons.math.estimation$AbstractEstimator#getCovariances(org.apache.commons.math.estimation.EstimationProblem):166
101,change_condition,"org.apache.commons.math.complex$ComplexFormat#parse(java.lang.String,java.text.ParsePosition):377","org.apache.commons.math.complex$ComplexFormat#parse(java.lang.String,java.text.ParsePosition):377"
102,insert_branch,"org.apache.commons.math.stat.inference$ChiSquareTestImpl#chiSquare(double[],long[]):73","org.apache.commons.math.stat.inference$ChiSquareTestImpl#chiSquare(double[],long[]):74"
102,insert_branch,"org.apache.commons.math.stat.inference$ChiSquareTestImpl#chiSquare(double[],long[]):76","org.apache.commons.math.stat.inference$ChiSquareTestImpl#chiSquare(double[],long[]):77"
103,coverage_try_catch,org.apache.commons.math.distribution$NormalDistributionImpl#cumulativeProbability(double):108,org.apache.commons.math.distribution$NormalDistributionImpl#cumulativeProbability(double):109
104,change_static_variable,org.apache.commons.math.special$Gamma#<clinit>():37,org.apache.commons.math.special$Gamma#<clinit>():37
105,change_return_value,org.apache.commons.math.stat.regression$SimpleRegression#getSumSquaredErrors():264,org.apache.commons.math.stat.regression$SimpleRegression#getSumSquaredErrors():264
106,insert_return_branch,"org.apache.commons.math.fraction$ProperFractionFormat#parse(java.lang.String,java.text.ParsePosition):163","org.apache.commons.math.fraction$ProperFractionFormat#parse(java.lang.String,java.text.ParsePosition):168"
106,insert_return_branch,"org.apache.commons.math.fraction$ProperFractionFormat#parse(java.lang.String,java.text.ParsePosition):198","org.apache.commons.math.fraction$ProperFractionFormat#parse(java.lang.String,java.text.ParsePosition):202"
